Time [sec],x_A(t),y_A(t),z_A(t),q_{0.A}(t),q_{1.A}(t),q_{2.A}(t),q_{3.A}(t),u_A(t),v_A(t),w_A(t),ω_{x.A}(t),ω_{y.A}(t),ω_{z.A}(t)
0.333230502899318,-0.402108630504745,1.29775496494377,0.00039873012772105,-0.675296325962004,-0.364035651661793,0.0504250381456206,0.639554373353128,-2.24982115849674,-1.18674134025353,-0.320230124910429,-12.1172017073952,24.3349439208785,-19.8968827818078
0.342160099054358,-0.412902521385367,1.31755603563929,0.000404503669904773,-0.630135957137613,-0.406558576225218,-0.0874207637025163,0.655832601419899,-1.79259845833692,-1.49889002410026,-0.850925977850344,-7.48499521901557,26.1031500988977,-21.2666611902655
0.358233372133431,-0.432325716589754,1.35122982702289,0.00042708940985305,-0.481061556300563,-0.499409549144102,-0.303266658954134,0.653709032584117,-0.611204372300572,-1.83849399211647,-1.33106685996089,1.89442988248271,27.0721970897248,-22.019287934712
0.370485718604983,-0.447138227664671,1.37519995792561,0.000435537326976081,-0.318564627520527,-0.568716410056507,-0.418091113821946,0.632785110916369,0.318374197273555,-1.9105662867798,-1.14183315874326,8.87123772800822,25.6736384021084,-20.9334896948286
0.388068025128766,-0.468389521302365,1.40702983592852,0.000455044819304748,-0.0473715110075896,-0.637359751683039,-0.490210255075058,0.592767049926356,1.20124305291882,-1.71112857396443,-0.248299946762821,16.914078529513,21.3412622752398,-17.5907788542301
0.401494052695608,-0.484626958718889,1.42929232904619,0.000462071939527251,0.161771139436123,-0.651896153968077,-0.478716503720554,0.56554666614798,1.40272419967833,-1.31266930780997,0.552529808666614,21.0764725690108,17.3243815833303,-14.5341457725639
0.425660902315924,-0.513832214213776,1.46492697297287,0.000502892313430476,0.491587065913505,-0.585868198942085,-0.361603470881504,0.533382627182251,1.07912395535636,-0.224143791361014,1.44397330744863,25.149788881664,10.7325022807469,-9.71156808742124
0.441139116804843,-0.532565432683342,1.48472872869666,0.000506697922194327,0.655821071224699,-0.486658228623925,-0.252450270022757,0.519118919724743,0.71080951393531,0.511433392957968,1.46445995376768,26.3437283522948,7.40275278527611,-7.49246876388851
0.457729983396072,-0.552646241976519,1.50334381541894,0.000510655194559387,0.785696685507904,-0.340531793114487,-0.127063789673456,0.500725988238643,0.344087112531754,1.12475472396943,1.07840054157399,26.9966278205839,4.53809500804162,-5.87458763625216
0.473039029524248,-0.571175792856558,1.51812359919347,0.000512404951244416,0.8621356157427,-0.178371977935889,-0.0148701250346987,0.474170382346766,0.066814521674799,1.41606675748867,0.496820516234034,27.2793912918732,2.34948438745565,-4.99803556647865
0.500595312554964,-0.604520932670521,1.53895235528171,0.000564049064920577,0.896950275792234,0.148506200980208,0.155184844555082,0.386661416590834,-0.332104819803905,1.19108182269638,-0.567165114973388,27.3583551690928,-1.13087389667689,-4.72165508062349
0.518992662769601,-0.626805229077803,1.54870192270578,0.000561163031138972,0.85217230136013,0.366953674822741,0.234158559102635,0.29065849040336,-0.580491986202766,0.638245695512891,-0.956715553276207,27.1413960255824,-3.59071787908094,-5.4439465703721
0.534709781865207,-0.645843683755008,1.55439839260582,0.000555701592526199,0.777073745834244,0.536588119507681,0.2754592089082,0.180327917249505,-0.784280500055305,0.0834037350949204,-0.96224795522335,26.686298298042,-6.0790219549829,-6.69690670298619
0.563000596237298,-0.680097265047055,1.55857615838584,0.000595934721553362,0.578984183093872,0.756399054135029,0.290897992893077,-0.0907464466103359,-0.983814454919105,-0.662537599215048,-0.248825231140916,24.5020767967081,-12.1161049393398,-10.6908521904181
0.582799831703145,-0.70410004144444,1.55681434454954,0.000589219633108523,0.415027314934968,0.802387987448769,0.271277829047696,-0.332516746426379,-0.794612736234559,-0.767784522121332,0.531937670379077,20.7625548872109,-17.6935465245803,-14.8124669113382
0.596277569915307,-0.720440998057938,1.55341125207267,0.00057618208379521,0.303811433169449,0.762581038346038,0.257833644327374,-0.509829876446192,-0.44655881828129,-0.63471476448422,0.984092279524978,16.4277207089707,-21.711888825691,-17.8750804388832
0.608501311972962,-0.735261929821472,1.54878273808691,0.000563607535879218,0.210151225103188,0.670348212720837,0.256364124100001,-0.664067237696041,-0.0112190883086682,-0.412507023693973,1.22118691424711,10.9857274511696,-24.8583054358782,-20.3016720854694
0.617743279903921,-0.746467475686033,1.54430967169225,0.000553311414432123,0.146939305025891,0.566966575562914,0.267275435545443,-0.765349757742752,0.340437704296088,-0.208788343818509,1.26089981525463,6.02113007998757,-26.473849028177,-21.5543004063059
0.634378822179647,-0.766639197349429,1.53414484981844,0.000541406004344945,0.053883655788097,0.328510043049978,0.32052474702723,-0.886961361778313,0.864815575830228,0.175696650234881,1.08183087147149,-3.76674603671793,-26.8806961486447,-21.8703383562715
0.646160129099414,-0.780926603306825,1.52530441048825,0.000528033558054472,0.00372095399301289,0.144388105937023,0.383850834502087,-0.912171879580929,1.07803027392841,0.428206847105376,0.881532343253979,-10.2905775215606,-25.1495586733561,-20.5272075696258
0.666284341648139,-0.805330067361678,1.50705329690186,0.000516194861772616,-0.062541126357755,-0.136708093987437,0.52306251838556,-0.839097446333182,1.19544948061389,0.749208097942808,0.700035028606968,-18.7411769671502,-19.7871804165837,-16.4018390065877
0.680004505253232,-0.821969918493868,1.49233362208013,0.000497541351200952,-0.10347858529988,-0.27877172324488,0.622860462400068,-0.723811537210916,1.22235347251549,0.834918074421021,0.760298365044866,-22.3446741341871,-15.6880995777874,-13.3073201802916
0.7047007997424,-0.851930619694637,1.46119387001507,0.000475015306908067,-0.186482519649264,-0.420715238487993,0.771539923174478,-0.439576499690971,1.36851519121386,0.627541143798271,1.05573752110262,-25.7105031977572,-9.3407915903662,-8.75482921868725
0.724325593233524,-0.875738036261832,1.43217086663712,0.0004391134465073,-0.264980802371788,-0.445175287280002,0.835777783012776,-0.182638545123077,1.57993880473883,0.173606837738002,1.19351633277758,-26.8017222109318,-5.56476397307415,-6.40802093974043
0.737607152272159,-0.891847159380148,1.41038091735685,0.000412968169129114,-0.322188755490912,-0.428441565447411,0.844310462261921,-0.00702060708819034,1.74047542534548,-0.197346389232902,1.14462510910361,-27.1537575325242,-3.50862460223209,-5.40997274220426
0.761513958541703,-0.920856556317262,1.36680611622546,0.000368493057049131,-0.423689886508858,-0.352500806304587,0.78175821344922,0.292171975203198,2.02413791830194,-0.760647574333863,0.747076686875614,-27.3809769976775,-0.370322869758014,-4.64430113525651
0.785758712554394,-0.950278707367575,1.31688531748295,0.000314544507729862,-0.507678157296983,-0.244936193235824,0.616515326760692,0.549969203831767,2.3148835070967,-0.912785247250833,0.149999591619876,-27.2454925176926,2.72171412977233,-5.11508046008351
0.811022734869632,-0.9809401620335,1.25873346976958,0.000250808874801631,-0.550010071451825,-0.138262171301737,0.34830593920465,0.746565287814744,2.65793660380388,-0.510570675407183,-0.179984020468712,-26.5422539508644,6.67586337655058,-7.04663383461478
0.834770976270634,-1.00975604780967,1.19835108660206,0.000176645716369837,-0.518500042738723,-0.079104668660183,0.0334031947156249,0.850945986978667,2.9063310747005,0.16019724220284,0.268836111728806,-24.6544366735989,11.8113525164227,-10.4727549127217
0.860130310950319,-1.04053460843018,1.12778240031392,8.1120007013545e-5,-0.366668980781232,-0.0918641406905258,-0.31407316959547,0.871124241682355,2.55794334327683,0.71079228146375,1.69860195926614,-19.54592187321,19.008316542729,-15.8086157770325
0.877722464278826,-1.06189377787593,1.07507681875329,2.52840424426972e-6,-0.169982779278903,-0.147624465890325,-0.507715689684441,0.831827407430695,1.5012815263657,0.794428024046832,2.8432828658556,-12.806901760028,23.9889577607125,-19.6292050254616
0.886560032513534,-1.07261844168812,1.04744618253529,-3.63602584650779e-5,-0.0442955547590759,-0.183392573162042,-0.572852444308546,0.797900195816602,0.686553985915739,0.740829513366962,3.23901192248379,-8.3285435887472,25.8541501707241,-21.0732465917775
0.90246765533601,-1.09193555243262,0.995782436591398,-0.0001057028658329,0.209473858584193,-0.241575132306111,-0.616010488582954,0.720213825190244,-1.02649438367867,0.520439320404823,3.34700983147784,0.881864772377839,27.1261325695576,-22.0609908134105
0.915459860811982,-1.10770752358676,0.9517357986597,-0.00016689382009531,0.418160895157226,-0.264997055142129,-0.577148145725798,0.649797450214676,-2.31307829140515,0.23911507576299,2.82564083842578,8.35381826924116,25.846737553932,-21.0674963984488
0.931484247806942,-1.12716652054191,0.895126029129542,-0.000243191330422603,0.641078475644438,-0.245863582456181,-0.456092156348707,0.566546998122892,-3.36216239378177,-0.244364378756262,1.7718630252373,15.9437389998588,22.0664519126243,-18.1473788960007
0.946534528984093,-1.14543686242183,0.839658526447342,-0.000319588407138837,0.79416614328268,-0.176498395440269,-0.301298498672275,0.497790452852718,-3.76277103641018,-0.829639803904963,0.863219703486376,20.8514450800708,17.5944434237235,-14.737490852773
0.96005668520635,-1.16184777013077,0.787925638450794,-0.000389119068155766,0.880157281187359,-0.0783087042588692,-0.153554724458186,0.44276353328187,-3.80587933474263,-1.40088128304083,0.399790552787485,23.6464701589074,13.6896495882288,-11.83057144246
0.984396566406413,-1.19142330779541,0.690282870826428,-0.000522126758319427,0.921469040700391,0.153204366324803,0.088037664153605,0.346548207538433,-3.65019639661632,-2.20499759229218,0.583176536451063,26.1906764420369,7.92894662176635,-7.82474548498434
1.00404996501547,-1.21527479428343,0.607186173686067,-0.000639658218720518,0.864849348459941,0.35934356611476,0.238441571431297,0.257828859359982,-3.57974924642531,-2.30378219430543,1.42657574120415,27.009914537102,4.47866750433522,-5.84472951879542
